id,price_min,mean_true
384,Work In Progess,61.22
92527,Work In Progess,60.23
571,Work In Progess,63.17
945,Work In Progess,59.93
93513,Work In Progess,61.96
325,Work In Progess,60
9844,Work In Progess,60.65
512,Work In Progess,60.07
91878,Work In Progess,61.82
886,Work In Progess,62.36
266,Work In Progess,60.1
92536,Work In Progess,62.23
453,Work In Progess,61.26
93521,Work In Progess,59.91
64,Work In Progess,61.4
827,Work In Progess,60.78
207,Work In Progess,63.18
9845,Work In Progess,61.44
394,Work In Progess,62.79
768,Work In Progess,60.35
148,Work In Progess,61.9
92545,Work In Progess,63.38
93528,Work In Progess,61.12
335,Work In Progess,59.96
93531,Work In Progess,61.15
709,Work In Progess,60.25
93533,Work In Progess,59.56
115,Work In Progess,60.98
9846,Work In Progess,62.26
276,Work In Progess,63.41
463,Work In Progess,61.12
65,Work In Progess,61.07
650,Work In Progess,59.76
837,Work In Progess,63.15
217,Work In Progess,62.38
93541,Work In Progess,62.87
591,Work In Progess,59.49
778,Work In Progess,61.78
158,Work In Progess,61.92
93545,Work In Progess,63.06
93546,Work In Progess,61.74
345,Work In Progess,61.65
532,Work In Progess,62.01
719,Work In Progess,60.01
801,Work In Progess,61.22
116,Work In Progess,62.26
286,Work In Progess,61.73
473,Work In Progess,62.4
93553,Work In Progess,63.04
66,Work In Progess,62.36
660,Work In Progess,61.91
847,Work In Progess,62.59
414,Work In Progess,59.82
93558,Work In Progess,60.18
975,Work In Progess,63.16
601,Work In Progess,60.64
168,Work In Progess,62.95
93561,Work In Progess,62.81
355,Work In Progess,61.11
93563,Work In Progess,60.94
542,Work In Progess,61.14
729,Work In Progess,62.57
93566,Work In Progess,59.37
296,Work In Progess,59.46
916,Work In Progess,61.82
483,Work In Progess,60.68
752,Work In Progess,63.28
857,Work In Progess,62.52
237,Work In Progess,62.67
93572,Work In Progess,63.28
424,Work In Progess,59.93
93574,Work In Progess,60.26
798,Work In Progess,61.27
178,Work In Progess,59.56
93577,Work In Progess,63.34
93578,Work In Progess,60.23
365,Work In Progess,61.72
634,Work In Progess,62.74
739,Work In Progess,60.94
118,Work In Progess,60.83
93582,Work In Progess,61.49
926,Work In Progess,62.45
68,Work In Progess,59.59
680,Work In Progess,60.18
93586,Work In Progess,63.1
867,Work In Progess,62.84
94574,Work In Progess,61.55
93589,Work In Progess,59.82
434,Work In Progess,60.06
93590,Work In Progess,59.43
621,Work In Progess,60.97
188,Work In Progess,63.51
808,Work In Progess,62.46
93594,Work In Progess,61.41
375,Work In Progess,61.93
562,Work In Progess,59.37
749,Work In Progess,59.42
119,Work In Progess,62.36
94585,Work In Progess,60.01
936,Work In Progess,61.28
503,Work In Progess,62.18
690,Work In Progess,61.63
93601,Work In Progess,59.95
877,Work In Progess,61.18
257,Work In Progess,63.23
94591,Work In Progess,59.77
93605,Work In Progess,60.05
93606,Work In Progess,61.83
631,Work In Progess,60.72
198,Work In Progess,60.74
93609,Work In Progess,60.85
385,Work In Progess,59.86
93610,Work In Progess,60.34
572,Work In Progess,60.83
946,Work In Progess,61.1
12,Work In Progess,63.13
326,Work In Progess,61.93
93615,Work In Progess,60.26
513,Work In Progess,59.76
70,Work In Progess,60.74
887,Work In Progess,63.48
267,Work In Progess,61.4
536,Work In Progess,61.93
454,Work In Progess,60.39
93621,Work In Progess,62.76
93622,Work In Progess,60.36
828,Work In Progess,61.62
208,Work In Progess,62.91
93625,Work In Progess,62.15
395,Work In Progess,60.01
769,Work In Progess,61.47
149,Work In Progess,63.07
93629,Work In Progess,62.15
91990,Work In Progess,63.37
336,Work In Progess,60.61
93631,Work In Progess,60.51
71,Work In Progess,62.66
91994,Work In Progess,59.44
897,Work In Progess,63.02
277,Work In Progess,59.87
93636,Work In Progess,62.33
464,Work In Progess,61.6
93638,Work In Progess,60.08
651,Work In Progess,61.74
838,Work In Progess,62.69
218,Work In Progess,63.23
92000,Work In Progess,60.29
592,Work In Progess,62.96
779,Work In Progess,60.73
159,Work In Progess,60.47
92004,Work In Progess,62.92
122,Work In Progess,63.52
346,Work In Progess,59.91
92007,Work In Progess,62.33
72,Work In Progess,61.27
92009,Work In Progess,63.34
93650,Work In Progess,62.52
287,Work In Progess,61.98
474,Work In Progess,59.5
93653,Work In Progess,59.98
93654,Work In Progess,60.78
661,Work In Progess,62.75
848,Work In Progess,60.75
415,Work In Progess,61.26
93658,Work In Progess,63.32
976,Work In Progess,61.3
602,Work In Progess,62.51
169,Work In Progess,61.48
92020,Work In Progess,62.58
356,Work In Progess,62.36
93663,Work In Progess,63.25
543,Work In Progess,61.28
73,Work In Progess,63.34
730,Work In Progess,62.59
92026,Work In Progess,60.46
917,Work In Progess,61.43
484,Work In Progess,61.05
92029,Work In Progess,62.81
858,Work In Progess,61.31
238,Work In Progess,61.06
93672,Work In Progess,59.51
92032,Work In Progess,59.68
92033,Work In Progess,61.42
799,Work In Progess,61.2
179,Work In Progess,63.03
93677,Work In Progess,63.03
92037,Work In Progess,62.61
92038,Work In Progess,63.03
92039,Work In Progess,62.82
74,Work In Progess,60.01
9795,Work In Progess,59.84
93682,Work In Progess,62.51
92042,Work In Progess,59.91
307,Work In Progess,62.62
681,Work In Progess,60.07
93686,Work In Progess,59.7
868,Work In Progess,61.26
248,Work In Progess,62.93
93689,Work In Progess,62.3
92049,Work In Progess,62.81
93690,Work In Progess,60.13
622,Work In Progess,59.65
189,Work In Progess,62.17
809,Work In Progess,62.76
92053,Work In Progess,59.68
376,Work In Progess,61.16
563,Work In Progess,62.72
75,Work In Progess,59.65
212,Work In Progess,59.64
13,Work In Progess,59.88
130,Work In Progess,61.49
773,Work In Progess,61.11
